1	9	84	9.937	4.492
1	10	50	7.926	2.822
1	15	42	5.936	4.922
1	12	34	3.497	5.992
1	13	55	5.425	6.959
1	16	68	4.231	8.853
1	14	76	7.412	7.256
1	11	97	9.393	7.007
1	6	199	10.58	13.03
1	2	144	8.423	11.53
1	7	110	8.167	9.435
1	5	89	6.148	9.391
1	4	123	6.293	11.6
1	3	191	5.361	15.55
1	1	233	10.25	14.99
1	8	178	8.276	13.55
2	15	161	-8.396	-12.55
2	14	195	-8.07	-14.52
2	12	216	-10.46	-14.02
2	13	203	-12.82	-11.09
2	16	106	-6.281	-10.52
2	9	63	8.009	5.004
2	10	21	3.695	4.009
2	11	47	2.504	7.763
2	6	157	6.006	13.65
2	7	246	6.98	17.31
2	8	212	7.782	15.48
2	3	181	15.92	1.688
2	1	139	13.06	5.116
2	5	160	14.62	3.57
2	4	228	16.52	7.072
2	2	249	18.09	5.021
3	10	250	-9.969	-15.95
3	11	237	-12.81	-13.09
3	14	182	-10.63	-12.03
3	9	148	-10.44	-10.02
3	13	114	-9.86	-8.01
3	12	127	-8.35	-10.49
3	15	122	-12.42	-4.284
3	16	101	-10.68	-5.371
3	1	118	11.30	6.277
3	2	152	12.19	8.157
3	8	236	18.25	0.993
3	4	147	14.42	0.334
3	3	126	13.19	2.088
3	5	105	11.68	3.496
3	7	194	15.72	5.245
3	6	215	17.14	3.265
4	10	135	-11.80	-7.207
4	12	169	-12.49	-9.124
4	16	190	-14.42	-7.821
4	11	224	-14.90	-9.754
4	13	245	-16.80	-8.031
4	9	211	-16.16	-6.141
4	15	232	-17.65	-4.123
4	14	156	-13.60	-5.986
4	1	207	14.70	8.777
4	2	173	14.05	6.889
4	3	131	10.21	9.015
4	4	186	12.70	10.1
4	6	165	10.58	11.03
4	7	220	12.86	12.09
4	5	254	12.70	14.09
4	8	241	15.02	10.75
5	5	239	11.97	-13.97
5	8	205	9.98	-13.81
5	2	226	8.451	-15.76
5	1	158	4.804	-14.16
5	7	137	6.193	-12.47
5	3	124	3.207	-12.86
5	6	103	4.46	-11.22
5	4	150	9.131	-11.36
5	10	82	5.28	-9.392
5	15	48	3.434	-7.494
5	9	27	3.302	-5.227
5	13	40	5.291	-5.351
5	14	19	4.106	-3.168
5	16	53	7.271	-4.708
5	12	66	9.052	-3.389
5	11	87	9.781	-5.244
6	4	184	11.12	-11.7
6	7	163	11.84	-9.519
6	6	129	9.798	-9.308
6	5	108	10.02	-7.244
6	8	142	12.14	-7.331
6	1	171	8.045	-13.32
6	2	192	6.565	-15.12
6	3	116	7.18	-10.61
6	16	74	7.772	-6.66
6	14	95	7.721	-8.653
6	15	61	5.594	-7.42
6	9	3	2.059	0.089
6	11	1	0.1551	-1.18
6	13	4	-1.684	-1.682
6	12	2	-1.289	1.082
6	10	8	2.759	1.927
7	7	155	14.03	-4.759
7	8	223	17.54	-2.865
7	2	231	15.76	-8.862
7	3	252	15.08	-11.37
7	1	197	13.83	-9.357
7	4	218	13.11	-11.7
7	5	176	14.14	-7.02
7	6	210	16.02	-6.369
